geoid,name,B29001001,"B29001001, Error",B29001002,"B29001002, Error",B29001003,"B29001003, Error",B29001004,"B29001004, Error",B29001005,"B29001005, Error"
14000US36047058902,"Census Tract 589.02, Kings, NY",0,13,0,13,0,13,0,13,0,13
14000US36047059000,"Census Tract 590, Kings, NY",1114,179,182,76,326,89,289,93,317,105
14000US36047059100,"Census Tract 591, Kings, NY",3181,424,538,121,1567,396,729,170,347,128
14000US36047059200,"Census Tract 592, Kings, NY",2355,374,310,113,402,120,957,301,686,182
14000US36047059300,"Census Tract 593, Kings, NY",1637,205,285,75,811,149,327,92,214,112
14000US36047059402,"Census Tract 594.02, Kings, NY",3749,527,374,127,1120,275,1045,222,1210,320
14000US36047059403,"Census Tract 594.03, Kings, NY",1909,424,435,191,289,135,742,250,443,144
14000US36047059404,"Census Tract 594.04, Kings, NY",3074,448,455,199,660,317,988,315,971,318
14000US36047059600,"Census Tract 596, Kings, NY",1688,303,232,140,252,151,709,175,495,113
14000US36047059800,"Census Tract 598, Kings, NY",2191,445,284,147,609,288,704,221,594,166
14000US36047060000,"Census Tract 600, Kings, NY",4763,763,651,324,763,227,1897,417,1452,320
14000US36047060600,"Census Tract 606, Kings, NY",1999,304,254,109,426,154,598,161,721,188
14000US36047060800,"Census Tract 608, Kings, NY",2768,504,458,165,760,371,822,182,728,196
14000US36047061002,"Census Tract 610.02, Kings, NY",3669,662,449,321,626,175,1311,348,1283,264
14000US36047061003,"Census Tract 610.03, Kings, NY",1000,257,268,120,197,80,253,80,282,105
14000US36047061004,"Census Tract 610.04, Kings, NY",3683,490,440,184,543,204,1232,335,1468,274
14000US36047061200,"Census Tract 612, Kings, NY",915,161,85,51,260,78,236,89,334,113
14000US36047061600,"Census Tract 616, Kings, NY",1272,238,98,52,95,57,251,104,828,195
14000US36047062000,"Census Tract 620, Kings, NY",1415,279,174,126,268,110,535,157,438,129
14000US36047062200,"Census Tract 622, Kings, NY",2089,364,206,90,604,157,511,109,768,324
14000US36047062600,"Census Tract 626, Kings, NY",2082,332,394,102,349,136,722,247,617,132
14000US36047062800,"Census Tract 628, Kings, NY",3625,494,525,168,867,238,1386,207,847,188
